date,time,latitude,longitude,depth,magnitude,magtype
2011-05-15,11:57:22,73.25,123.24,14.0,3.3,M
2011-05-16,06:49:59,72.6,120.6,10.0,3.7,M
2011-05-16,07:02:44,72.82,120.95,10.0,3.4,M
2011-05-16,11:31:06,73.06,122.58,,2.4,M
2011-05-16,18:40:48,73.28,122.86,,2.3,M
2011-05-17,08:18:17,73.6,124.01,,2.2,M
2011-05-20,04:51:43,72.8,121.13,,4.8,M
2011-05-20,06:06:09,73.39,123.34,,2.4,M
2011-05-29,16:48:42,73.69,123.9,,2.9,M
2011-06-07,17:13:21,74.848,131.459,12.0,3.3,M
2011-06-09,04:05:58,76.277,130.374,9.0,2.8,M
2011-07-16,06:42:21,74.315,134.607,10.0,3.2,M
2011-08-18,13:32:30,71.46,132.21,,2.4,M
2011-08-18,14:17:58,70.82,129.27,,2.3,M
2011-08-22,16:14:29,72.35,144.23,,2.6,M
2011-09-04,23:22:33,72.65,142.15,,2.2,M
2011-09-13,15:31:41,71.21,140.96,,2.4,M
2011-09-18,13:05:28,71.87,132.91,,2.6,M
2011-09-19,15:38:28,72.47,132.98,,1.8,M
2011-09-28,14:58:29,72.12,141.17,,2.2,M
2011-09-29,16:08:19,79.203,123.592,10.0,4.0,M
2011-10-17,00:16:37,70.5,131.2,,2.4,M
2011-11-02,20:45:16,71.07,123.03,,1.8,M
2011-11-03,08:35:22,70.16,130.94,,2.0,M
2011-11-21,13:37:55,71.69,129.1,,2.3,M
2011-11-27,10:24:17,73.81,134.42,,2.5,M
2011-12-04,08:56:40,72.23,130.19,,1.9,M
2011-12-04,09:04:27,72.22,130.04,,2.2,M
2011-12-08,07:56:32,75.05,142.53,,2.4,M
2011-12-10,09:04:53,72.15,122.27,10.0,3.2,M
2011-12-10,09:26:29,72.71,122.2,20.0,2.6,M
2011-12-27,20:25:39,73.89,131.79,,2.8,M
2012-01-31,19:34:20,70.31,130.57,,1.8,M
2012-02-01,13:39:37,72.92,139.04,,1.9,M
2012-02-03,10:20:53,73.43,135.53,,2.4,M
2012-03-20,07:47:33,72.83,135.88,13.0,2.3,M
2012-03-24,23:12:45,74.42,135.67,,2.6,M
2012-04-02,20:26:27,70.78,131.96,,1.9,M
2012-04-03,01:36:17,71.03,131.69,,1.8,M
2012-04-05,04:53:12,71.01,129.28,,2.3,M
2012-04-05,18:42:30,75.05,136.42,,3.5,M
2012-04-06,00:41:27,74.79,136.79,,2.2,M
2012-04-07,00:12:17,75.22,135.42,15.0,3.6,M
2012-04-07,00:14:56,75.09,136.67,,3.2,M
2012-04-07,10:39:23,74.61,136.94,,2.6,M
2012-04-13,21:54:55,72.41,138.34,,1.8,M
2012-04-16,13:56:47,79.651,124.559,10.0,2.7,M
2012-04-19,18:29:35,70.15,128.33,,2.1,M
2012-04-22,15:12:32,74.0,140.0,,1.8,M
2012-05-20,04:34:48,70.34,130.98,,1.9,M
2012-05-23,05:00:01,74.19,129.72,,2.3,M
2012-06-28,04:04:24,74.87,135.73,,2.3,M
2012-07-31,15:00:57,70.08,133.95,,2.0,M
2012-08-11,03:32:20,72.9,135.98,,2.0,M
2012-09-01,16:26:05,72.42,135.02,,1.9,M
2012-09-02,22:25:53,73.69,125.59,,2.0,M
2012-09-04,00:44:55,72.28,134.77,,1.8,M
2012-09-11,14:39:39,73.0,136.12,,2.8,M
2012-09-11,14:46:26,73.06,136.24,,2.3,M
2012-10-01,17:07:00,72.83,136.17,,2.8,M
2012-10-04,03:31:12,71.55,132.86,,2.2,M
2012-10-29,16:57:42,71.49,140.07,,2.3,M
2012-11-03,03:23:11,72.8,135.41,,2.0,M
2012-11-15,14:59:57,71.26,131.01,,2.1,M
2012-11-23,03:10:11,72.14,130.59,,2.5,M
2012-11-25,03:12:44,72.63,123.75,,2.4,M
2012-12-16,19:13:20,71.02,141.02,,2.7,M
2013-01-13,15:55:24,73.64,128.87,11.0,2.0,M
2013-02-01,19:20:09,72.89,123.78,,2.6,M
2013-02-07,18:34:59,73.87,136.28,12.0,2.5,M
2013-02-14,06:26:03,70.3,141.11,,2.4,M
2013-03-18,00:42:42,71.89,133.29,17.0,2.9,M
2013-03-22,06:39:14,78.14,126.09,12.0,3.6,M
2013-04-11,20:01:07,74.35,129.79,10.0,3.2,M
2013-04-16,00:36:11,72.85,136.09,20.0,3.4,M
2013-04-24,05:26:14,70.42,131.54,,2.3,M
2013-04-26,05:43:52,70.41,141.06,18.0,2.7,M
2013-04-27,06:33:52,70.82,140.27,18.0,2.9,M
2013-05-02,09:08:31,73.9,130.05,2.0,2.7,M
2013-05-02,09:18:15,73.86,129.95,,2.1,M
2013-05-26,20:41:10,70.1,146.13,,1.9,M
2013-05-27,17:46:09,71.28,130.59,,2.1,M
2013-07-08,12:24:46,71.73,137.07,20.0,2.8,M
2013-08-20,02:33:44,75.81,127.41,,3.2,M
2013-09-09,19:04:15,76.27,133.43,7.0,3.2,M
2013-09-28,14:37:32,77.23,129.62,11.0,3.8,M
2013-12-02,06:12:53,76.05,123.99,10.0,2.7,M
2013-12-10,19:18:32,76.1,123.99,,2.7,M
2013-12-18,06:59:13,72.17,127.53,24.0,2.1,M
2013-12-24,16:43:33,73.4,125.03,5.0,2.0,M
2014-01-01,14:46:31,73.18,132.46,22.0,3.2,M
2014-01-03,19:09:27,72.22,128.95,23.0,2.6,M
2014-03-03,09:56:12,70.78,139.94,22.0,3.1,M
2014-03-27,09:26:57,72.69,126.53,13.0,2.7,M
2014-04-01,02:29:59,73.57,126.02,,2.7,M
2014-04-04,23:13:58,73.48,125.54,,2.4,M
2014-04-11,13:27:08,74.31,132.3,10.0,3.1,M
2014-04-14,03:52:23,73.29,124.69,,3.4,M
2014-04-14,06:45:05,72.54,123.35,10.0,2.3,M
2014-04-14,09:03:26,72.55,123.39,10.0,2.0,M
2014-04-14,11:07:09,72.48,123.51,,1.9,M
2014-04-17,05:25:03,72.71,123.58,15.0,1.9,M
2014-04-17,10:04:39,72.61,123.72,,2.8,M
2014-04-18,04:07:31,72.63,123.6,7.0,1.8,M
2014-04-19,00:51:52,73.1,124.33,5.0,3.0,M
2014-04-20,19:21:05,72.93,124.01,10.0,2.3,M
2014-04-25,10:32:43,70.15,130.77,10.0,1.8,M
2014-04-28,07:06:42,72.54,125.02,10.0,2.1,M
2014-05-21,23:17:12,71.0,130.91,10.0,2.0,M
2014-05-25,16:23:39,71.37,131.92,3.0,1.9,M
2014-05-29,05:07:29,70.85,140.08,10.0,4.4,M
2014-05-30,05:53:17,70.8,139.96,10.0,2.5,M
2014-06-01,08:52:44,74.92,133.37,10.0,3.0,M
2014-06-09,13:13:09,72.93,126.21,15.0,2.5,M
2014-06-14,14:48:57,70.86,137.77,9.0,3.1,M
2014-06-18,17:36:07,70.24,125.32,10.0,1.8,M
2014-06-21,14:37:28,74.5,134.23,27.0,2.4,M
2014-06-22,09:59:07,72.89,125.01,10.0,1.9,M
2014-06-22,23:58:22,78.577,125.886,12.0,4.1,M
2014-06-23,05:52:04,71.51,130.83,20.0,2.9,M
2014-08-13,13:23:20,73.26,134.67,10.0,2.2,M
2014-08-15,11:33:19,72.41,134.84,10.0,2.2,M
2014-11-01,16:36:04,72.5,124.72,,2.4,M
2014-11-13,09:32:54,72.47,124.67,10.0,2.4,M
2014-11-17,13:34:11,71.34,130.56,10.0,2.3,M
2014-11-26,04:26:48,73.3,130.63,10.0,2.9,M
2014-12-07,11:51:13,74.34,137.79,11.0,2.3,M
2014-12-10,18:40:46,73.08,129.51,11.0,2.1,M
2014-12-12,07:42:44,74.59,129.8,,3.0,M
2014-12-24,08:15:28,70.79,128.84,10.0,3.0,M
2015-01-06,22:54:50,70.76,137.33,23.0,1.8,M
2015-01-18,11:33:39,70.98,137.64,10.0,1.9,M
2015-01-21,17:14:55,73.28,131.26,15.0,2.1,M
2015-02-16,05:49:27,70.24,132.18,15.0,2.3,M
2015-02-22,08:16:39,70.05,142.48,10.0,2.1,M
2015-03-09,18:36:32,70.1,127.98,10.0,2.3,M
2015-03-11,12:58:09,72.21,127.99,26.0,2.3,M
2015-03-15,00:45:25,71.54,137.84,20.0,1.9,M
2015-04-09,14:49:16,71.87,124.91,10.0,2.5,M
2015-05-07,22:37:08,70.05,138.13,21.0,4.2,M
2015-05-08,06:50:54,70.01,138.18,10.0,2.3,M
2015-05-10,15:52:43,72.92,125.08,10.0,1.9,M
2015-05-21,22:31:47,74.16,132.97,,2.3,M
2015-05-22,18:13:11,74.49,133.85,10.0,2.3,M
2015-05-24,22:52:38,72.35,123.11,10.0,2.4,M
2015-05-26,04:41:29,74.6,111.97,15.0,4.1,M
2015-06-02,14:38:50,71.6,132.86,10.0,2.0,M
2015-06-10,05:25:53,72.4,133.4,10.0,2.1,M
2015-06-10,06:02:52,72.3,133.74,10.0,2.1,M
2015-06-12,09:53:33,72.75,122.66,7.0,2.0,M
2015-06-17,00:33:02,71.49,130.82,10.0,2.5,M
2015-06-19,06:29:24,74.16,116.36,10.0,2.4,M
2015-07-03,14:57:15,72.6,123.62,,2.5,M
2015-07-04,17:27:14,73.74,116.94,19.0,2.4,M
2015-07-04,17:36:13,75.6,127.8,15.0,2.6,M
2015-07-20,14:41:40,74.01,132.4,10.0,2.6,M
2015-07-27,09:20:43,71.21,140.02,10.0,2.1,M
2015-08-09,08:42:19,70.67,137.09,5.0,2.4,M
2015-08-09,10:11:23,74.53,136.93,10.0,3.1,M
2015-08-14,20:36:48,70.05,131.99,10.0,1.8,M
2015-09-03,14:20:37,72.19,127.96,10.0,2.4,M
2015-09-08,13:27:01,72.2,126.25,10.0,2.0,M
2015-09-10,12:41:42,70.16,128.26,10.0,4.1,M
2015-09-16,09:23:26,72.66,132.25,10.0,2.4,M
2015-09-19,02:03:19,71.96,128.98,10.0,2.1,M
2015-09-30,04:47:02,74.49,134.03,10.0,2.5,M
2015-10-14,05:57:18,70.83,129.43,14.0,2.2,M
2015-10-21,19:30:57,72.5,122.87,10.0,2.3,M
2015-11-05,19:01:00,73.73,127.04,15.0,1.9,M
2015-11-05,20:52:32,73.19,116.64,10.0,2.0,M
2015-11-11,18:01:01,72.12,143.28,10.0,2.2,M
2015-11-15,06:14:27,71.79,141.96,10.0,2.1,M
2015-11-17,09:04:52,73.31,143.36,10.0,2.7,M
2015-11-17,16:50:07,70.76,139.69,10.0,1.8,M
2015-11-19,16:35:35,73.16,144.5,10.0,2.4,M
2015-11-24,17:41:49,73.49,126.65,15.0,1.8,M
2015-11-29,21:05:45,73.43,117.49,10.0,2.7,M
2015-11-29,23:09:19,74.18,137.05,21.0,2.4,M
2015-11-30,05:20:00,75.92,131.22,5.0,2.7,M
2015-12-01,04:58:03,75.56,134.52,10.0,2.7,M
2015-12-02,01:14:10,74.28,136.01,10.0,2.3,M
2015-12-04,02:23:29,75.81,127.66,10.0,2.3,M
2015-12-06,19:55:05,72.62,116.8,10.0,2.6,M
2015-12-12,07:11:24,71.14,142.49,26.0,3.0,M
2015-12-23,15:28:44,73.2,131.85,10.0,2.1,M
2015-12-24,18:14:53,72.33,124.7,10.0,2.4,M
2015-12-29,17:29:14,71.72,130.57,10.0,2.2,M
2016-01-07,09:50:07,74.3,131.81,5.0,1.9,M
2016-01-17,01:53:34,72.07,127.98,10.0,2.4,M
2016-01-21,03:45:43,71.92,129.16,10.0,2.2,M
2016-02-02,11:57:19,72.25,125.67,30.0,2.1,M
2016-02-04,09:35:26,71.74,127.45,29.0,1.8,M
