longitude,latitude,magnitude
128.85,71.14,1.9
130.66,71.3,2.7
141.22,71.36,1.9
128.19,72.08,2.5
135.71,74.72,2.8
130.6,71.27,1.9
130.1122,71.2571,3.73
128.4226,78.4511,3.3
135.83,70.5,1.9
125.96,72.93,2.7
125.11,72.47,2.1
125.08,72.32,2.3
124.83,72.4,2.4
124.97,72.68,2.2
129.69,74.08,2.3
124.5248,79.2861,3.54
130.28,71.14,2.4
123.36,73.14,3.1
123.24,73.25,3.3
120.688,72.77600000000002,4.1
120.95,72.82,3.4
122.58,73.06,2.4
122.86,73.28,2.3
124.01,73.6,2.2
121.29,72.813,4.8
123.34,73.39,2.4
123.9,73.69,2.9
131.5127,74.752,3.8
130.4745,76.2696,3.76
133.381,75.0137,3.6
134.586,74.27600000000002,4.4
132.939,74.39699999999998,4.9
134.082,75.4522,3.7
132.21,71.46,2.4
129.27,70.82,2.3
124.16,79.361,4.5
144.23,72.35,2.6
142.15,72.65,2.2
140.96,71.21,2.4
132.91,71.87,2.6
132.98,72.47,1.8
143.4139,72.3062,3.43
123.592,79.203,4.0
131.2,70.5,2.4
123.03,71.07,1.8
130.94,70.16,2.0
129.1,71.69,2.3
134.42,73.81,2.5
130.19,72.23,1.9
130.04,72.22,2.2
142.53,75.05,2.4
122.27,72.15,3.2
122.2,72.71,2.6
131.79,73.89,2.8
130.57,70.31,1.8
139.04,72.92,1.9
135.53,73.43,2.4
135.88,72.83,2.3
135.67,74.42,2.6
131.96,70.78,1.9
131.69,71.03,1.8
129.28,71.01,2.3
136.4507,74.8776,4.55
136.79,74.79,2.2
136.429,75.135,4.4
136.7595,74.8066,3.87
136.94,74.61,2.6
138.34,72.41,1.8
123.9943,79.7141,3.65
128.33,70.15,2.1
140.0,74.0,1.8
130.98,70.34,1.9
129.72,74.19,2.3
135.73,74.87,2.3
127.0148,77.64399999999998,3.58
123.9758,79.1154,4.36
133.95,70.08,2.0
135.98,72.9,2.0
135.02,72.42,1.9
125.59,73.69,2.0
134.77,72.28,1.8
136.12,73.0,2.8
136.24,73.06,2.3
136.17,72.83,2.8
132.86,71.55,2.2
140.07,71.49,2.3
135.41,72.8,2.0
131.01,71.26,2.1
130.59,72.14,2.5
123.75,72.63,2.4
121.0455,79.9804,3.4
141.02,71.02,2.7
128.87,73.64,2.0
123.78,72.89,2.6
129.947,74.318,4.3
136.28,73.87,2.5
141.11,70.3,2.4
133.29,71.89,2.9
126.4874,77.9014,4.24
129.6209,74.1099,3.91
136.09,72.85,3.4
131.54,70.42,2.3
141.06,70.41,2.7
140.27,70.82,2.9
116.4306,75.2738,3.4
130.05,73.9,2.7
129.95,73.86,2.1
146.13,70.1,1.9
130.59,71.28,2.1
133.1593,74.4374,3.65
137.07,71.73,2.8
132.3474,75.9508,4.5
127.41,75.81,3.2
133.4011,76.2069,4.6
129.6752,77.168,4.6
130.6313,76.4711,3.6
129.7242,77.0579,3.6
123.99,76.05,2.7
123.99,76.1,2.7
127.53,72.17,2.1
125.03,73.4,2.0
132.46,73.18,3.2
128.9529,72.2186,2.8
125.9616,78.8131,3.5
128.0312,71.9033,0.5
129.4174,72.5453,1.2
143.4504,70.3883,1.5
139.9411,70.7772,3.5
126.53,72.6885,2.4
126.0225,73.5669,2.5
125.54,73.48,2.4
132.3,74.31,3.1
123.5456,72.6794,1.3
124.8066,73.3521,3.57
123.3482,72.5432,2.0
123.3933,72.5485,1.9
123.51,72.48,1.9
123.4439,72.6403,1.2
123.5254,72.5319,1.0
