time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-12-13T20:48:01.240Z,72.942,126.872,10,0,,7,107.7,,1.16,us,usp000fude,2014-11-07T01:34:25.290Z,"northwestern Sakha, Russia",earthquake,,0,,,reviewed,us,us
2007-07-19T06:18:44.040Z,72.261,125.712,10,4.4,mb,26,75.1,,1.02,us,usp000fgm6,2014-11-07T01:33:00.677Z,"northwestern Sakha, Russia",earthquake,,,,9,reviewed,us,us
2007-07-12T20:29:25.960Z,72.29,125.973,10,0,,8,87.8,,1.3,us,usp000fg1x,2014-11-07T01:32:57.049Z,"northwestern Sakha, Russia",earthquake,,,,,reviewed,us,us
2007-06-06T14:21:29.940Z,72.584,125.154,41.5,3.9,mb,11,97.9,,1.02,us,usp000fdg6,2014-11-07T01:32:39.763Z,"northwestern Sakha, Russia",earthquake,,26.3,,1,reviewed,us,us
2007-05-17T21:05:25.360Z,77.433,123.47,10,4,mb,9,185.2,,0.77,us,usp000fc6a,2014-11-07T01:32:29.082Z,"Laptev Sea",earthquake,,,,3,reviewed,us,us
2007-04-11T17:44:28.680Z,78.815,125.657,10,4.3,mb,19,95.6,,1.12,us,usp000f9f4,2014-11-07T01:32:10.387Z,"east of Severnaya Zemlya",earthquake,,,,3,reviewed,us,us
2007-03-14T08:51:09.790Z,77.753,126.512,10,4.5,mb,13,97.3,,1.16,us,usp000f6pj,2014-11-07T01:31:52.436Z,"Laptev Sea",earthquake,,0,,2,reviewed,us,us
2007-02-27T16:54:05.390Z,77.924,126.471,10,4.9,mb,24,93.7,,0.9,us,usp000f5se,2014-11-07T01:31:42.922Z,"Laptev Sea",earthquake,,,,8,reviewed,us,us
2007-01-11T01:59:46.470Z,74.352,146.901,10,4.5,mb,10,110.4,,0.54,us,usp000f25b,2014-11-07T01:31:20.728Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,1,reviewed,us,us
2006-12-17T11:39:09.070Z,74.679,132.31,10,0,,14,107,,0.84,us,usp000f0dq,2014-11-07T01:31:09.163Z,"Laptev Sea",earthquake,,,,,reviewed,us,us
2006-04-03T15:18:06.990Z,74.841,128.333,10,3.8,mb,10,125.9,,0.78,us,usp000edm3,2014-11-07T01:28:42.778Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,3,reviewed,us,us
2006-03-28T18:36:56.640Z,76.606,130.39,10,4.5,mb,47,65.8,,0.99,us,usp000ed55,2014-11-07T01:28:36.476Z,"Laptev Sea",earthquake,,,,23,reviewed,us,us
2006-02-09T05:38:21.840Z,79.94,123.955,10,4.1,mb,24,65.8,,0.96,us,usp000e9th,2014-11-07T01:28:17.586Z,"east of Severnaya Zemlya",earthquake,,,,7,reviewed,us,us
2005-08-15T21:24:34.360Z,75.009,133.272,10,4.4,mb,19,75.5,,1.4,us,usp000dxdq,2014-11-07T01:26:49.324Z,"Laptev Sea",earthquake,,,,4,reviewed,us,us
2004-10-02T11:06:01.470Z,73.83,114.482,10,4.5,mb,35,104.7,,0.89,us,usp000d5kf,2014-11-07T01:23:40.477Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,9,reviewed,us,us
2004-06-28T02:11:59.590Z,74.078,134.559,10,4.8,mb,14,157.7,,1,us,usp000cz16,2014-11-07T01:22:42.930Z,"Laptev Sea",earthquake,,,,4,reviewed,us,us
2004-02-04T22:55:35.030Z,77.979,126.681,10,0,,10,80.3,,1,us,usp000cke1,2014-11-07T01:21:18.008Z,"Laptev Sea",earthquake,,0,,,reviewed,us,us
2004-01-02T21:56:45.280Z,74.083,134.41,10,0,,8,157.7,,0.65,us,usp000cgwq,2014-11-07T01:20:56.854Z,"Laptev Sea",earthquake,,,,,reviewed,us,us
2003-12-07T09:16:12.640Z,74.08,134.821,10,5.1,mwc,131,69.4,,0.93,us,usp000ceqs,2016-11-10T00:08:37.010Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
2003-12-07T09:10:17.410Z,74.139,134.779,10,4.9,mb,33,108.6,,0.98,us,usp000ceqr,2014-11-07T01:20:42.328Z,"Laptev Sea",earthquake,,,,5,reviewed,us,us
2003-12-07T09:09:18.530Z,74.081,134.601,10,4.6,mb,25,108.7,,0.93,us,usp000ceqq,2014-11-07T01:20:42.325Z,"Laptev Sea",earthquake,,,,4,reviewed,us,us
2003-07-26T16:41:44.550Z,79.647,123.192,10,4.4,mb,13,79.5,,0.97,us,usp000c3ec,2014-11-07T01:19:18.316Z,"east of Severnaya Zemlya",earthquake,,,,4,reviewed,us,us
2003-03-19T16:31:36.320Z,76.088,131.885,10,4,mb,19,77.1,,1.2,us,usp000bt1j,2014-11-07T01:18:06.704Z,"Laptev Sea",earthquake,,,,2,reviewed,us,us
2003-03-04T10:45:35.070Z,77.424,125.497,10,3.9,mb,9,113.4,,0.99,us,usp000brxn,2014-11-07T01:17:59.109Z,"Laptev Sea",earthquake,,,,2,reviewed,us,us
2002-09-27T02:15:53.260Z,74.988,133.719,10,4.2,mb,10,,,1.44,us,usp000bd6q,2014-11-07T01:16:34.964Z,"Laptev Sea",earthquake,,,,1,reviewed,us,us
2002-06-04T00:05:07.170Z,75.634,143.746,10,4.8,mb,20,,,1.2,us,usp000b5gb,2014-11-07T01:15:45.656Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,4,reviewed,us,us
