date,time,latitude,longitude,depth,magnitude,magtype
2008-07-29,19:23:44,75.9247,134.7144,0.0,3.7,mb
2009-07-30,12:25:28,73.5411,148.2815,0.0,3.6,mb
2009-08-11,04:13:04,79.0807,127.0067,10.0,3.9,mb
2009-10-07,00:29:54,73.3549,134.1871,10.0,4.41,mb
2010-01-06,05:19:29,70.85,140.45,10.0,2.0,MSV
2010-01-10,23:02:29,77.188,124.935,10.0,3.61,mb
2010-01-10,23:02:33,74.56,136.29,10.0,2.56,MSV
2010-01-24,17:17:01,73.08,136.76,10.0,1.89,MSV
2010-01-29,05:31:00,71.3,130.48,10.0,1.94,MSV
2010-02-01,09:22:44,70.87,140.32,10.0,3.22,MSV
2010-03-02,06:59:05,70.57,129.86,10.0,1.33,MSV
2010-03-23,19:32:46,72.0884,126.3062,10.0,3.89,mb
2010-03-24,12:44:20,72.03,135.69,10.0,1.89,MSV
2010-03-31,15:36:53,75.9082,135.4171,10.0,3.4,mb
2010-04-01,04:30:19,70.7527,139.8767,10.0,3.66,mb
2010-04-08,02:01:33,70.83,129.86,10.0,1.83,MSV
2010-04-10,13:23:20,71.8,129.04,10.0,1.78,MSV
2010-05-02,22:06:52,70.13,130.31,10.0,1.78,MSV
2010-05-06,07:56:17,70.09,140.95,10.0,1.83,MSV
2010-05-11,02:16:15,70.08,130.14,10.0,1.89,MSV
2010-05-13,05:07:29,72.8,126.54,10.0,2.17,MSV
2010-05-14,16:33:19,70.46,135.71,10.0,1.56,MSV
2010-06-10,23:12:33,73.22,142.52,10.0,2.94,MSV
2010-06-16,12:12:49,71.47,141.55,10.0,1.44,MSV
2010-06-26,04:06:12,73.1102,122.6422,10.0,3.75,mb
2010-07-12,10:06:42,72.9622,123.7258,9.9056,4.81,mb
2010-07-31,17:02:12,75.6585,132.0435,10.0,3.81,mb
2010-08-22,19:25:03,75.7467,132.4957,10.0,4.01,mb
2010-10-29,11:37:55,74.9351,132.9118,0.0,3.8,mb
2010-11-07,09:38:10,75.0473,133.5561,10.0,3.58,mb
2010-11-23,00:57:08,74.7583,133.6113,16.766,4.58,mb
2010-12-15,03:30:55,71.36,137.94,10.0,2.11,MSV
2010-12-21,00:33:56,71.39,138.16,10.0,1.33,MSV
2010-12-21,05:39:36,79.8051,124.176,10.0,3.8,mb
2010-12-21,23:45:58,71.42,137.84,10.0,1.94,MSV
2010-12-22,23:33:54,71.8255,128.8017,10.0,4.13,mb
2010-12-23,06:29:07,71.78,129.2,10.0,2.61,MSV
2010-12-23,08:14:52,71.79,129.25,10.0,2.28,MSV
2010-12-23,09:37:14,70.31,131.37,10.0,1.56,MSV
2010-12-28,15:25:10,77.3985,125.3744,10.0,3.69,mb
2010-12-28,16:30:14,70.82,140.55,10.0,1.61,MSV
2011-02-18,00:26:55,71.2571,130.1122,10.0,3.73,mb
2011-03-01,02:27:36,78.4511,128.4226,0.0,3.3,mb
2011-04-20,02:16:53,79.2861,124.5248,10.0,3.54,mb
2011-05-15,10:58:21,72.7533,120.9567,10.0,3.56,mb
2011-05-15,11:57:20,72.8583,121.3194,10.0,3.66,mb
2011-05-16,06:49:59,72.4941,120.8052,10.0,3.89,mb
2011-05-16,07:02:43,72.5879,120.7292,10.0,3.52,mb
2011-05-20,04:51:45,72.8554,121.3506,11.38,4.84,mb
2011-05-29,16:48:39,73.42,121.6239,10.0,3.44,mb
2011-06-07,17:13:23,74.752,131.5127,10.0,3.8,mb
2011-06-09,04:06:00,76.2696,130.4745,10.0,3.76,mb
2011-06-29,11:06:53,75.0137,133.381,0.0,3.6,mb
2011-07-16,06:42:23,74.3234,134.5855,10.0,4.23,mb
2011-07-23,17:59:21,74.2847,133.0495,10.0,3.93,mb
2011-08-08,19:54:47,75.4522,134.082,0.0,3.7,mb
2011-08-20,05:57:41,79.2731,123.9942,10.0,4.31,mb
2011-09-28,14:58:29,72.3062,143.4139,10.0,3.43,mb
2011-09-29,16:08:14,79.7663,124.0722,10.0,4.46,mb
2011-12-27,20:25:35,74.0383,133.9639,10.0,4.37,mb
2012-02-03,10:20:51,74.5974,132.6567,10.0,3.4,mb
2012-03-24,23:12:44,74.8061,133.8106,10.0,3.75,mb
2012-04-05,18:42:33,74.8776,136.4507,41.405300000000004,4.55,mb
2012-04-07,00:12:19,75.0205,136.223,10.0,4.1,mb
2012-04-07,00:15:00,74.8066,136.7595,10.0,3.87,mb
2012-04-07,10:39:17,74.8174,137.0755,10.0,3.32,mb
2012-04-16,13:56:49,79.7141,123.9943,10.0,3.65,mb
2012-07-06,08:11:04,77.644,127.0148,10.0,3.58,mb
2012-07-27,14:01:27,79.1154,123.9758,10.0,4.36,mb
2012-12-14,05:17:33,79.9804,121.0455,0.0,3.4,mb
2013-02-07,03:33:48,74.2361,129.9105,10.0,4.09,mb
2013-03-22,06:39:15,77.9014,126.4874,10.0,4.24,mb
2013-04-11,20:01:09,74.1099,129.6209,10.0,3.91,mb
2013-04-16,00:36:11,72.9783,135.6686,10.0,3.71,mb
2013-04-30,16:21:09,75.2738,116.4306,10.0,3.4,mb
2013-06-27,21:14:43,74.4374,133.1593,10.0,3.65,mb
2013-08-07,18:29:12,75.8739,132.6508,10.0,4.25,mb
2013-09-09,19:04:17,76.2104,133.5724,10.0,4.48,mb
2013-09-28,14:37:33,77.075,129.8832,10.0,4.49,mb
2013-10-03,22:11:52,76.4711,130.6313,0.0,3.6,mb
2013-10-04,21:09:42,77.0579,129.7242,0.0,3.6,mb
2014-01-01,14:46:31,73.1804,132.4568,22.0,3.8,ML
2014-01-03,19:09:27,72.2186,128.9529,23.0,2.8,ML
2014-01-14,03:43:05,78.8131,125.9616,10.0,3.5,mb
2014-01-21,10:32:21,71.9033,128.0312,5.0,0.5,ML
2014-01-25,19:48:58,72.5453,129.4174,5.0,1.2,ML
2014-02-20,04:40:12,70.3883,143.4504,15.0,1.5,ML
2014-03-03,09:56:12,70.7772,139.9411,22.0,3.5,ML
2014-03-27,09:26:57,72.6885,126.53,13.0,2.4,ML
2014-04-01,02:29:59,73.5669,126.0225,4.0,2.5,ML
2014-04-04,23:13:58,73.4754,125.5409,4.0,2.7,ML
2014-04-11,13:27:05,74.8526,133.8028,10.0,4.15,mb
2014-04-12,05:08:07,72.6794,123.5456,10.0,1.3,ML
2014-04-14,03:52:25,73.3521,124.8066,10.0,3.57,mb
2014-04-14,06:45:05,72.5432,123.3482,10.0,2.0,ML
2014-04-14,09:03:26,72.5485,123.3933,10.0,1.9,ML
2014-04-14,11:07:09,72.4775,123.5112,0.0,1.7,ML
2014-04-14,11:10:33,72.6403,123.4439,0.0,1.2,ML
2014-04-14,19:40:38,72.5319,123.5254,10.0,1.0,ML
2014-04-15,12:20:17,72.7673,123.7382,10.0,1.5,ML
2014-04-17,05:25:02,72.7132,123.5776,0.0,3.2,ML
2014-04-17,10:04:39,72.6101,123.715,3.0,2.7,ML
2014-04-18,04:07:31,72.6294,123.5986,7.0,1.7,ML
2014-04-19,00:51:52,73.1034,124.3346,5.0,2.9,ML
2014-04-20,19:21:05,72.9265,124.0081,10.0,2.1,ML
2014-04-20,19:33:04,72.837,123.7142,10.0,1.3,ML
2014-04-20,21:54:56,72.9136,123.188,5.0,1.1,ML
2014-04-24,22:03:41,71.7502,136.8352,10.0,2.0,ML
2014-04-25,10:32:43,70.1512,130.7685,10.0,0.0,mb
2014-04-28,07:06:42,72.5415,125.0175,10.0,1.7,ML
2014-04-28,07:30:08,72.5649,123.5946,10.0,1.0,ML
2014-05-02,02:36:39,70.7075,138.3439,10.0,1.5,ML
2014-05-20,07:17:37,72.1493,130.0121,10.0,1.8,ML
2014-05-22,18:26:22,72.2949,125.5177,10.0,0.8,ML
2014-05-25,16:23:39,71.3684,131.9216,3.0,1.6,ML
2014-05-29,05:07:33,70.8144,140.0522,10.0,4.71,mb
2014-05-29,18:38:13,70.8129,140.1187,5.0,1.4,ML
2014-05-30,05:53:17,70.7956,139.9579,10.0,2.2,ML
2014-06-01,08:52:43,75.0158,133.635,10.0,4.66,mb
2014-06-09,13:13:05,73.1918,125.8324,10.0,3.72,mb
2014-06-14,14:48:57,70.8612,137.765,9.0,2.9,ML
2014-06-18,17:36:07,70.243,125.32,10.0,1.5,ML
2014-06-21,14:37:21,74.8286,134.0249,10.0,3.61,mb
2014-06-22,09:59:07,72.8929,125.0144,10.0,2.2,ML
2014-06-22,23:58:23,78.5264,125.8323,10.571299999999999,4.82,mb
2014-06-23,03:01:58,70.8805,136.2175,18.0,1.7,ML
2014-06-23,05:52:04,71.5052,130.834,20.0,2.8,ML
2014-06-27,04:42:18,72.146,134.3834,10.0,1.6,ML
2014-06-29,03:51:56,72.1988,126.3882,10.0,1.4,ML
2014-07-13,09:04:26,77.2387,125.8371,10.0,3.41,mb
2014-08-03,20:59:30,72.4049,135.2059,15.0,1.4,ML
2014-08-13,13:23:20,73.2596,134.6651,10.0,2.5,ML
2014-08-15,11:33:19,72.409,134.836,10.0,2.5,ML
2014-11-26,04:26:46,73.4822,130.7057,10.0,3.8,mb
2014-12-12,07:42:56,74.2644,130.6357,10.0,4.01,mb
2014-12-24,12:45:46,77.2041,132.4183,10.0,3.57,mb
2015-05-07,22:37:08,70.0176,138.1004,10.0,3.97,mb
2015-05-26,04:41:22,75.1817,112.0058,10.0,4.0,mb
2015-08-09,10:11:01,76.8482,125.7679,10.0,4.12,mb
2015-09-10,12:41:44,70.1351,128.397,10.0,4.43,mb
2015-09-30,04:47:10,74.9726,133.6919,10.0,4.11,mb
2015-11-29,21:05:39,73.7256,116.8047,10.0,3.55,mb
2016-03-09,19:05:05,74.2863,134.0241,10.0,3.89,mb
2016-06-19,21:41:20,74.545,132.6589,10.0,3.62,mb
2016-08-17,08:28:17,73.9196,114.5735,0.0,3.6,mb
2016-08-19,09:59:25,71.7084,130.0092,10.0,4.66,mb
2016-10-29,08:50:30,74.644,133.7944,0.0,3.5,mb
2016-11-24,22:50:45,72.6386,124.2444,10.0,3.89,mb
2016-12-10,01:45:35,74.8797,132.9488,10.0,4.25,mb
2017-02-23,07:47:12,74.4033,114.0561,10.0,4.21,mb
2017-11-30,21:24:07,71.4826,132.4302,0.0,3.6,mb
2018-01-16,07:46:02,71.9696,127.7912,0.0,3.9,mb
2018-01-17,21:04:58,70.7952,128.0057,0.0,3.5,mb
2018-01-22,03:54:01,71.9893,128.0839,0.0,3.4,mb
2018-03-03,00:55:17,72.1417,133.8758,13.71,4.1,mb
2018-04-21,14:17:03,79.9466,123.4754,0.0,3.5,mb
2018-04-27,00:27:47,79.401,123.8181,10.0,4.6,mb
2018-08-08,03:06:10,71.9804,134.4512,15.07,4.4,mb
2019-04-09,10:05:59,76.212,134.1194,0.0,3.4,mb
2019-05-13,00:43:31,79.3766,124.263,0.0,4.6,mb
2019-05-21,03:45:11,75.493,110.1978,10.0,4.8,mb
2019-08-04,13:22:56,71.4671,138.4826,10.0,4.3,mb
2019-08-05,10:14:57,77.328,136.1071,0.0,3.6,mb
2019-10-12,03:34:13,76.0592,132.231,0.0,3.7,mb
